game_id,game_title
21779,League of Legends
509672,IRL
32399,Counter-Strike
1991115310,Forza Horizon 6
528672376,Teamfight Manager 2
509658,Just Chatting
491487,Dead by Daylight
516575,VALORANT
1435206302,Slay the Spire II
29452,Virtual Casino
2009321156,Dark and Darker
1756782008,9 Kings
1158884259,Splatoon 3
1292388149,Angel Engine
491931,Escape from Tarkov
498566,Slots
26936,Music
518203,Sports
18122,World of Warcraft
29595,Dota 2
209738946,Wuthering Waves
515025,Overwatch
513143,Teamfight Tactics
499973,Always On
1702520304,Path of Exile 2
723826053,Subnautica 2
66082,Games + Demos
1818,Gothic
2112738408,NBA 2K26
55453844,Street Fighter 6
373384440,Romestead
460630,Rainbow Six Siege
498417,Vintage Story
33214,Fortnite
511399,Super Mario Maker 2
512710,Call of Duty: Warzone
1234011532,Maze Creep!!
1780647523,HITMAN World of Assassination
512953,ELDEN RING
1016595934,Dread Flats
114524791,Shadowverse: Worlds Beyond
1455299120,It Reaches
1264310518,Marvel Rivals
512864,Eternal Return
490655,Pokémon GO
509659,ASMR
464339927,ARC Raiders
743,Chess
30921,Rocket League
1597660489,RESIDENT EVIL: requiem
138585,Hearthstone
6221455,Enter the Chronosphere
512923,Baldur's Gate 3
515537,Fireworks Mania
1832641890,MLB The Show 26
490292,DARK SOULS III
253234167,GONE Fishing
511224,Apex Legends
509660,Art
32959,Heroes of the Storm
490377,Sea of Thieves
518184,Phasmophobia
13389,Age of Empires II
65876,Cyberpunk 2077
515024,Diablo IV
13332,Pokémon FireRed/LeafGreen
504463,Tom Clancy's The Division 2
687129551,Trackmania
2132205352,Deadlock
27471,Minecraft
493057,PUBG: BATTLEGROUNDS
1630982727,Where Winds Meet
138583,Shovel Knight
1813168901,LEGO Batman: Legacy of the Dark Knight
767133634,World of Tanks: Heat
2012789438,Call of Duty: Black Ops 7
417528,Albion Online
498592,I'm Only Sleeping
461221,MARVEL Contest of Champions
848400095,SILENT HILL ƒ
1099705332,Tomodachi Life: Living the Dream
1901865180,NTE: Neverness to Everness
386821,Black Desert
490422,StarCraft II
0,Unknown Category
1654,Gothic II
518762,Paralives
562426203,Poolscape
