streamer_id,channel_name,language
92038375,Caedrel,en
1017626993,wendolynortizz,en
472066926,TheBurntPeanut,en
26490481,summit1g,en
67519684,sasatikk,ja
175831187,ironmouse,en
100869214,Arky,en
851694336,SanteaTv,en
45302947,iiTzTimmy,en
143179777,AgustinUnaplay8,es
473688875,Meiy_vl,ja
89969094,Zerost_s,ja
59635827,supertf,en
49207184,fps_shaka,ja
47733806,chopperinho,ru
936171791,Yugi2x,en
202987684,Muriloso,pt
169185650,robcdee,en
48893421,すももですよ,ja
78874179,krokoboss,de
172376071,maxim,de
93305727,たかやスペシャル,ja
27101452,MPKBK,ru
113028874,けんき,ja
48962167,ボドカさん,ja
834113869,judah_xx,ru
703613222,Grimmi,en
622498423,otplol_,fr
100369229,DesmondPilak,en
43223443,Hunterowner,en
555397037,JonLiMusic,en
501133928,rubenmartinweb,es
106013742,Pestily,en
1312862940,Asmongold247,en
262832931,absolut3,ru
15027034,嬌兔,zh
806179236,メルトンめるとん,ja
77415295,Jasper7se,ja
865320951,sadgirl,en
29528480,綠茶,zh
446246227,evelynomadera,en
1171769612,247Jynxzi,en
636587384,AlveusSanctuary,en
24124090,DatModz,en
45839490,らいじん,ja
20795350,Kurumx,en
531019578,ronnyberger,de
135056709,dokibird,en
725072884,yurnboi,en
438944099,hello_kiko,en
169491306,Liam,en
189850266,BIGRUSSIANMUM,ru
125709967,slimeIRL,en
204659019,LockInTJ,en
52891155,LowTierGod,en
65737149,yutapongo,ja
38770961,Dracon,de
805456112,なるお_,ja
119497908,kyo1984123,zh
48245475,AresLPs,de
1054551170,Ricci,en
1017225456,SamoAgo,zh
184634287,Terablade,ru
104435562,QRUSHcsgo,ru
2982838,Surefour,en
205218019,el_yuste,es
128222917,世誠,zh
43539324,Broxah,en
655333260,ReneKreher,de
7154733,TypicalGamer,en
107536229,Aurateur,en
40760591,GoBGG,fr
31478096,ALKAPONE,es
582765062,Peter,en
40017619,Doublelift,en
624501601,HisokaT42,en
504843877,KEEMSAMA_,en
23852822,懶貓,zh
25202416,蝦愛橘子,zh
119611214,sheviii2k,pt
718820856,Ev913,zh
31645736,goodoq,ru
1347579851,musim_official,en
25743612,Graycen,en
24538518,sneakylol,en
41314239,dafran,en
116673961,LFToxy_val,en
24411833,Gigguk,en
7010591,UHN,en
42304622,鈴木ノリアキ,ja
89041633,Maxylobes,en
24198048,Matimi0,en
970936597,つるつるたすかる,ja
200080536,RaiderGO,en
69012069,m0xyy,en
26640321,Leaflit,en
29156271,Goratha,en
102192603,獅子丸,zh
592934481,marimari_en,en
919352997,firiondhistory,ru
76020989,JOEYKAOTYK,en
59829074,DeeRKUFA,ru
184578486,mfreak00,es
117348035,依渟,zh
56399221,Viper,en
125142625,Luckyzeal,en
131439149,supcaitlin,en
442709328,문뚜야,en
31819679,BirdieBoba,en
42297683,AceOFSpades,en
272168411,RenRize,es
1349515600,aimkey,en
25236843,狂暴小建,zh
921167449,afrchess,en
625931244,Mawkzy_,fr
54989347,Fairlight_Excalibur,en
133118594,Mingo,en
493844061,DI_RUBENS,ru
63054799,Trickywi,en
58352686,SuperJJ,en
401670504,Oatley,en
508990092,AiCandii,en
519084584,santipulgaz,en
45184940,yvonnie,en
813676925,Alina_Kapuchino,ru
975207893,JardiStream,fr
9679595,Grimmmz,en
18731326,Celerity,en
106159308,GronkhTV,de
25458544,Sequisha,en
59685493,Cohh,en
107514872,Rush,en
555601967,elcamacho24,es
36829241,DaddyDimmuTV,en
203300412,Nemurf,es
38466285,Onutrem,fr
11897156,roflgator,en
